PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"106847";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Rhodellales";;;;"Rhodellaceae";;;;"Rhodella";;;"maculata";;;;"106846";"98518";"20.08.2009 00:00:00";"L. Evans";"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;"1970";;"marint plankton";66633;106847;"Ja";;;;;;;;;;;;;;;;;;;;;;
"118275";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Rhodellales";;;;"Rhodellaceae";;;;"Rhodella";;;"violacea";;;;"106846";"109582";"11.09.2009 00:00:00";"(Kornmann) Wehrmeyer";"Gyldig";"Ingen_bistatus";"11.09.2009 00:00:00";"11.09.2009 00:00:00";"1971";;;"M, C";76869;118275;"Ja";;;;;;;;;;;;;;;;;;;;;;
"106841";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Porphyridiales";;;;"Porphyridiaceae";;;;;;;;;;;"1429";"98512";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66627;106841;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106842";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Porphyridiales";;;;"Porphyridiaceae";;;;"Porphyridium";;;;;;;"106841";"98513";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66628;106842;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106843";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Porphyridiales";;;;"Porphyridiaceae";;;;"Porphyridium";;;"aerugineum";;;;"106842";"98514";"20.08.2009 00:00:00";"Geitler";"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;"1923";;"usikker i Norge";66629;106843;"Ja";;;;;;;;;;;;;;;;;;;;;;
"106844";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Porphyridiales";;;;"Porphyridiaceae";;;;"Porphyridium";;;"purpureum";;;;"106842";"98515";"20.08.2009 00:00:00";"(Bory de Saint-Vincent) K.M. Drew & R. Ross";"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;"1965";;"ferskvann";66630;106844;"Ja";;;;;;;;;;;;;;;;;;;;;;
"1405";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Acrochaetiales";;;;;;;;;;;;;;;"1404";"1405";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1405;1405;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1406";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Ahnfeltiales";;;;;;;;;;;;;;;"1404";"1406";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1406;1406;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1407";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Balbianiales";;;;;;;;;;;;;;;"1404";"1407";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1407;1407;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1408";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Balliales";;;;;;;;;;;;;;;"1404";"1408";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1408;1408;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1409";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Batrachospermales";;;;;;;;;;;;;;;"1404";"1409";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1409;1409;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1410";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Bonnemaisoniales";;;;;;;;;;;;;;;"1404";"1410";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1410;1410;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1411";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Ceramiales";;;;;;;;;;;;;;;"1404";"1411";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1411;1411;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1412";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Colaconematales";;;;;;;;;;;;;;;"1404";"1412";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1412;1412;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1413";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;"Corallinales";;;;;;;;;;;;;;;"1404";"1413";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1413;1413;"Nei";;;;;;;;;;;;;;;;;;;;;;
